pod_name,namespace,cpu_allocation_efficiency,memory_allocation_efficiency,disk_io,network_latency,node_temperature,node_cpu_usage,node_memory_usage,event_message,scaling_event,pod_lifetime_seconds,predicted_failure,predicted_failure_label
2113,2,0.746725532,0.447344937,328.3523591,173.9100156,21.29524371,55.81931108,18.33580154,0,True,68857,3,network_latency_issue
4989,0,0.018596896,0.048526092,892.5357912,92.87369278,50.75405893,40.12928083,55.75919152,1,False,186394,6,pod_failure
1054,0,0.582451899,0.015098156,291.0888803,46.65045419,51.26297719,73.07616461,35.55146448,2,False,89537,7,pod_termination
3568,0,0.686322725,0.876972745,470.5305993,197.7475462,73.61331649,63.85584859,38.62348307,1,True,191726,6,pod_failure
3292,2,0.479067775,0.091465956,546.0961198,130.2161388,46.38403745,78.49446176,97.04628367,2,True,3036,2,memory_exhaustion
1127,3,0.839065242,0.303532376,66.16434804,198.7271522,66.43556266,39.04626043,32.04056719,2,False,152949,7,pod_termination
4357,1,0.748800944,0.561792595,844.9093921,25.67626172,27.25554118,97.92096215,65.21528784,3,False,155548,2,memory_exhaustion
1143,3,0.510381665,0.061297007,586.0342331,2.874592141,70.66051095,49.04928407,62.9447275,4,True,134077,4,normal
3721,3,0.247637203,0.136997704,696.3573586,66.67609547,52.78655037,56.52620172,10.67062847,0,True,195894,4,normal
1282,1,0.180477629,0.432782633,689.17223,109.2293337,26.75738932,72.4741185,3.151031053,2,False,107008,7,pod_termination
1035,3,0.31848336,0.603350742,196.2671851,185.8021021,82.80666771,76.57543437,0.826686911,4,True,128582,3,network_latency_issue
4616,2,0.721972209,0.12240311,845.1844674,186.3776983,38.70466798,46.78648304,87.35263815,2,True,67533,7,pod_termination
2612,1,0.739578138,0.502657443,18.92881375,97.50231108,56.92493825,72.3424366,69.48160127,3,True,91316,2,memory_exhaustion
3534,1,0.056146282,0.706348173,366.1978359,101.8409877,49.41077721,94.2383771,31.22498105,0,False,9028,0,cpu_exhaustion
3666,3,0.796299759,0.606066623,572.036986,123.3722857,92.58521934,48.09218417,61.34468407,1,False,48675,6,pod_failure
144,3,0.917535611,0.633299696,338.2572632,25.65049656,98.99995619,5.66696554,41.56290539,2,False,26399,7,pod_termination
2320,2,0.207050418,0.147345853,661.7854892,168.24357,42.27594721,98.79967822,11.59416823,4,False,74655,0,cpu_exhaustion
2326,2,0.666641917,0.382143157,240.6191146,70.16471907,48.85241811,0.7801934,18.35406563,4,True,67539,4,normal
1062,1,0.988451734,0.796058254,681.446964,175.9092911,39.52594623,86.86153127,25.87076402,4,False,154654,3,network_latency_issue
4428,1,0.944207174,0.098656412,705.9152679,139.2902255,53.63780566,99.59067016,10.45800763,0,True,155888,0,cpu_exhaustion
2338,1,0.162785462,0.18323916,590.2372215,45.88941583,22.49482103,23.22229015,90.49133555,2,False,13491,2,memory_exhaustion
183,0,0.615446666,0.657465047,935.0155326,16.6583699,61.21131962,15.55886513,95.53801803,1,False,125402,2,memory_exhaustion
1618,1,0.173301011,0.813173117,304.1285502,135.7815453,20.82577969,84.3044674,53.66855909,4,True,112018,4,normal
4801,0,0.706378609,0.12929397,656.9191639,99.26456542,38.84056247,71.25286053,93.86530571,1,False,54442,6,pod_failure
2160,2,0.052623847,0.331452189,664.2480363,16.34162107,81.35957909,95.23720715,8.848869972,1,True,155615,6,pod_failure
1508,0,0.329137713,0.942197674,154.6516722,134.0728413,30.7475846,2.0620177,52.04050888,0,True,39918,4,normal
265,3,0.418621598,0.232225229,71.71105277,4.984958679,30.22965857,51.50141348,48.67902589,2,False,109947,4,normal
1412,0,0.269377668,0.54849907,63.57115894,38.92025429,52.45435108,81.58495019,10.15821447,3,False,138287,2,memory_exhaustion
3172,2,0.67478653,0.881560358,670.7303484,187.0550472,56.52980544,67.49400486,56.55912347,3,False,138470,3,network_latency_issue
465,2,0.165858372,0.516872097,264.8533083,67.11076464,42.72436224,78.06584319,41.8137724,0,True,25824,4,normal
3198,3,0.070905687,0.691900088,227.9680257,60.61895936,63.95610266,64.68931401,11.20978449,0,False,139769,4,normal
3757,0,0.590899971,0.323683267,622.5848475,182.1194154,35.02132315,70.61338384,89.08947548,3,False,191887,2,memory_exhaustion
2980,2,0.477470782,0.238139915,180.4133789,67.65749316,49.01181997,97.32320817,18.63975296,1,True,18314,6,pod_failure
1633,0,0.318270803,0.861244711,53.99083482,161.1247521,93.35555605,62.23789115,95.22836457,2,True,118828,7,pod_termination
2773,2,0.716879714,0.845333086,672.1696541,38.93449559,57.86748715,19.48706834,95.96186785,0,True,19810,2,memory_exhaustion
3833,1,0.772269493,0.237506417,635.8074632,34.23536183,91.26671782,6.490399942,35.74791483,2,True,72807,7,pod_termination
1555,0,0.264743576,0.225557613,799.7023485,151.2627954,65.36770949,66.26418125,26.47534621,4,False,50465,3,network_latency_issue
4935,3,0.583308099,0.899723767,107.3691636,104.754175,48.97183231,98.23981713,97.23605926,3,True,142019,0,cpu_exhaustion
1588,2,0.883901733,0.406917247,94.37604622,148.541731,54.57257557,51.30285794,16.80846411,4,False,181693,4,normal
4032,1,0.321206635,0.787099294,446.9565239,114.9248386,33.15521645,29.56511879,93.94069484,0,True,37470,2,memory_exhaustion
2807,0,0.760814317,0.071128612,882.3693976,103.991801,34.01677662,42.47978203,35.01583916,4,False,176013,4,normal
468,3,0.995503254,0.4690534,187.4733576,16.85500167,42.48001081,99.17245273,6.702852812,0,True,50294,0,cpu_exhaustion
1269,2,0.208137761,0.41171061,996.4793431,58.14911719,49.92884287,76.9736681,19.63130705,1,True,79605,1,disk_io_bottleneck
4748,1,0.446926711,0.261823178,878.1547573,170.596153,59.55595313,45.71398651,83.73318407,3,False,8361,2,memory_exhaustion
3850,1,0.673002579,0.963349944,468.9984692,80.15534401,76.21265669,17.31739074,19.4073861,1,False,81266,6,pod_failure
1356,0,0.945197348,0.218679174,90.76542006,61.44926004,47.55505755,67.06897409,29.14873563,3,False,87533,2,memory_exhaustion
4775,1,0.927013198,0.316874265,153.9981437,13.3059785,49.78321883,53.93197643,66.69276034,0,True,72817,4,normal
2723,1,0.669979485,0.25103933,804.7289693,97.54228386,61.00657606,17.16357825,20.66691065,1,True,156460,6,pod_failure
749,2,0.646812011,0.417900251,109.9165362,62.19155803,75.45308989,82.40475024,99.79858593,3,True,171249,2,memory_exhaustion
2023,0,0.865687336,0.778221648,838.9852011,61.89351739,48.79358447,88.16648635,63.03206205,4,False,1324,4,normal
1047,0,0.641244069,0.572606798,428.973471,188.9499361,87.14915859,36.56995702,40.88975401,3,False,184370,2,memory_exhaustion
3659,0,0.849347574,0.841086566,179.7079078,152.4016607,66.19761298,4.596148125,79.78024625,2,False,59403,7,pod_termination
2702,2,0.79563565,0.642767894,130.4385164,50.27047265,68.5428897,70.06651707,39.53507087,3,True,9371,2,memory_exhaustion
2019,2,0.981489221,0.637020562,732.3162932,148.1395763,80.97312376,7.037498449,36.30011095,0,True,144893,5,overheating
2076,2,0.149980476,0.767896663,535.5441614,169.8870827,94.0177322,40.63811104,79.25482652,4,True,132863,3,network_latency_issue
4646,3,0.653734746,0.240053245,834.2613927,13.10095411,21.74105459,60.26841681,73.55707739,1,True,94076,6,pod_failure
103,3,0.417283538,0.923485067,777.2958969,22.67409413,72.94010756,11.82529681,31.34790077,1,True,20740,6,pod_failure
1114,1,0.457097932,0.524506639,698.3574401,163.2650438,65.55979877,58.97564731,55.85326521,1,False,67690,6,pod_failure
1674,1,0.61120358,0.850698659,427.239037,17.91102154,79.88599933,70.82107252,96.64367371,1,True,20488,6,pod_failure
3317,1,0.408212078,0.75753756,128.3037648,147.3447847,24.01277249,86.70826988,9.819094337,0,False,187241,4,normal
121,3,0.049538213,0.34023875,6.620960758,191.4685422,29.04314835,31.6909939,32.68931955,1,True,98789,6,pod_failure
3157,2,0.648922404,0.14220128,449.3495075,198.8665506,40.83989588,53.86637634,6.015546744,1,False,83940,6,pod_failure
2362,3,0.415138345,0.074949447,972.2105915,119.195985,33.54459369,82.23599143,82.33792649,4,False,86977,1,disk_io_bottleneck
